Accession	Organism	Kingdom	Sequence length	SP cleavage	N-term transmembrane
Q9NP77	Homo sapiens	Metazoa	194		False
P46959	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	383		False
Q12334	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	223		False
Q0ZCJ7	Mus musculus	Metazoa	421		False
Q9BQS6	Homo sapiens	Metazoa	159		False
O74954	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	613		False
P41348	Spinacia oleracea	Viridiplantae	144		False
Q06629	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	674		False
Q9BYB4	Homo sapiens	Metazoa	327		False
Q21773	Caenorhabditis elegans	Metazoa	489		False
Q02959	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	697		False
Q9SZR3	Arabidopsis thaliana	Viridiplantae	1017		False
Q10210	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	391		False
Q96255	Arabidopsis thaliana	Viridiplantae	430		False
P40028	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	759		False
Q91YT0	Mus musculus	Metazoa	464		False
Q68DD2	Homo sapiens	Metazoa	849		False
P59178	Mus musculus	Metazoa	703		False
O80952	Arabidopsis thaliana	Viridiplantae	296		False
P61961	Mus musculus	Metazoa	85		False
Q8VZ80	Arabidopsis thaliana	Viridiplantae	539		True
Q659A1	Homo sapiens	Metazoa	982		False
P50876	Homo sapiens	Metazoa	292		False
Q96N77	Homo sapiens	Metazoa	438		False
Q20716	Caenorhabditis elegans	Metazoa	267		False
P39689	Mus musculus	Metazoa	159		False
O14338	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	891		False
P48634	Homo sapiens	Metazoa	2157		False
A0A2I0BUK1	Plasmodium falciparum (isolate NF54)	Other	893		False
Q94131	Caenorhabditis elegans	Metazoa	335		False
Q9Y6D0	Homo sapiens	Metazoa	94		True
Q9USJ8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	218		False
Q9DB77	Mus musculus	Metazoa	453		False
Q10252	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	358		True
Q24400	Drosophila melanogaster	Metazoa	495		False
G1X9H9	Arthrobotrys oligospora (strain ATCC 24927 / CBS 115.81 / DSM 1491)	Fungi	411		False
Q96I23	Homo sapiens	Metazoa	114		False
Q9P7S6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	274		False
Q39249	Arabidopsis thaliana	Viridiplantae	462		False
P17629	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	752		False
Q5HYK7	Homo sapiens	Metazoa	790		False
Q96QE3	Homo sapiens	Metazoa	1844		False
Q9FJW6	Arabidopsis thaliana	Viridiplantae	798		False
Q61471	Mus musculus	Metazoa	362		False
P39706	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	426		False
Q08213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	363		False
E9Q9M8	Mus musculus	Metazoa	600		False
Q9C9M6	Arabidopsis thaliana	Viridiplantae	196		False
Q12305	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	139		False
Q3LHL9	Drosophila melanogaster	Metazoa	1658		False
Q9LVH4	Arabidopsis thaliana	Viridiplantae	177		False
Q8WVI0	Homo sapiens	Metazoa	70		True
Q7YR75	Bos taurus	Metazoa	198		False
Q9QX74	Rattus norvegicus	Metazoa	1474		False
P36152	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	348		False
Q01295	Drosophila melanogaster	Metazoa	727		False
Q9C8J7	Arabidopsis thaliana	Viridiplantae	509		False
Q9FVU9	Arabidopsis thaliana	Viridiplantae	358		False
Q9UUG2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	621		False
P24919	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	273		False
P52655	Homo sapiens	Metazoa	376		False
Q8WXU2	Homo sapiens	Metazoa	420		False
Q03435	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	203		False
P21190	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	360		False
P54845	Homo sapiens	Metazoa	237		False
Q7X7A4	Oryza sativa subsp. japonica	Viridiplantae	475		False
Q923M1	Rattus norvegicus	Metazoa	233		False
Q14159	Homo sapiens	Metazoa	915		False
P49299	Cucurbita maxima	Viridiplantae	516		False
Q9Y371	Homo sapiens	Metazoa	365		False
Q13356	Homo sapiens	Metazoa	520		False
Q9FLU1	Arabidopsis thaliana	Viridiplantae	454		False
P53859	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	292		False
Q15649	Homo sapiens	Metazoa	155		False
P40316	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	373		False
B1AUS7	Mus musculus	Metazoa	101		False
Q00202	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	678		False
Q21502	Caenorhabditis elegans	Metazoa	870		False
P38911	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	411		False
Q96AG4	Homo sapiens	Metazoa	307		False
O43765	Homo sapiens	Metazoa	313		False
Q08236	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1176		False
P33203	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	583		False
O13684	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	261		False
O15091	Homo sapiens	Metazoa	583		False
P10069	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	432		False
Q94BN0	Arabidopsis thaliana	Viridiplantae	364		False
Q9H8M7	Homo sapiens	Metazoa	445		False
Q9NXV6	Homo sapiens	Metazoa	580		False
P40063	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	208		False
P62128	Spinacia oleracea	Viridiplantae	123		False
Q940X9	Arabidopsis thaliana	Viridiplantae	826		False
G5DGA8	Ips pini	Metazoa	253		False
Q22707	Caenorhabditis elegans	Metazoa	233		False
Q230X8	Tetrahymena thermophila (strain SB210)	Other	423		False
Q8L940	Arabidopsis thaliana	Viridiplantae	309		False
P53088	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	359		False
Q53H47	Homo sapiens	Metazoa	684		False
P07703	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	335		False
Q07395	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	620		False
P53193	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	184		False
P57680	Mus musculus	Metazoa	1005		True
G5EG51	Caenorhabditis elegans	Metazoa	1270		False
P80483	Amphidinium carterae	Other	323		False
P53127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1403		False
Q94BV2	Arabidopsis thaliana	Viridiplantae	181		False
P53259	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	346		False
A0A7G5KLV3	Cananga odorata	Viridiplantae	586		False
Q94A68	Arabidopsis thaliana	Viridiplantae	377		False
Q9Y3E1	Homo sapiens	Metazoa	203		False
P53552	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1597		False
Q6PIU2	Homo sapiens	Metazoa	408		True
Q9VN45	Drosophila melanogaster	Metazoa	553		False
Q03213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	719		False
Q86X29	Homo sapiens	Metazoa	649		False
Q9QXN0	Mus musculus	Metazoa	1986		False
Q9NP71	Homo sapiens	Metazoa	852		False
Q9US14	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	268		False
Q96AJ1	Homo sapiens	Metazoa	413		False
P32776	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	642		False
Q5T4T1	Homo sapiens	Metazoa	132		True
Q9UTJ8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1285		False
Q15843	Homo sapiens	Metazoa	81		False
Q9LD43	Arabidopsis thaliana	Viridiplantae	769		False
Q8WYA6	Homo sapiens	Metazoa	563		False
Q9FYT6	Zea mays	Viridiplantae	715		False
Q9QXY4	Rattus norvegicus	Metazoa	580		False
Q9HB07	Homo sapiens	Metazoa	376		False
Q96GM8	Homo sapiens	Metazoa	510		False
Q6R327	Homo sapiens	Metazoa	1708		False
Q9Y2Z4	Homo sapiens	Metazoa	477		False
P22697	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	236		False
P39943	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	394		False
P35293	Mus musculus	Metazoa	206		False
P05435	Spinacia oleracea	Viridiplantae	364		False
P13712	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	422		False
P06105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1222		False
Q873E4	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	240		False
P53874	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	792		False
B6HLU1	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	Fungi	3746		False
P19735	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	899		False
Q8VWF1	Arabidopsis thaliana	Viridiplantae	368		False
Q9DB60	Mus musculus	Metazoa	201		False
Q69IL4	Oryza sativa subsp. japonica	Viridiplantae	380		False
Q02606	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	381		False
P32761	Chlamydomonas moewusii	Viridiplantae	218		False
Q68DX3	Homo sapiens	Metazoa	1309		False
Q9ZW33	Arabidopsis thaliana	Viridiplantae	83		False
Q8N6F7	Homo sapiens	Metazoa	178		False
Q9FVE6	Arabidopsis thaliana	Viridiplantae	245		False
Q00653	Homo sapiens	Metazoa	900		False
Q06598	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	404		True
Q7SHR9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	316		False
Q9TYY7	Caenorhabditis elegans	Metazoa	478		True
Q19555	Caenorhabditis elegans	Metazoa	1096		False
P25046	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	220		False
P48039	Homo sapiens	Metazoa	350		True
Q0E7J7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	325		False
Q9NRZ7	Homo sapiens	Metazoa	376		False
Q6P4A7	Homo sapiens	Metazoa	337		False
Q965W2	Caenorhabditis elegans	Metazoa	407		False
P42774	Arabidopsis thaliana	Viridiplantae	315		False
Q9VMD0	Drosophila melanogaster	Metazoa	1659		False
Q5A287	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	805		False
Q06632	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1357		False
Q63ZY3	Homo sapiens	Metazoa	851		False
P15847	Plasmodium falciparum	Other	184		False
P56192	Homo sapiens	Metazoa	900		False
P82130	Spinacia oleracea	Viridiplantae	183		False
Q9ESJ7	Mus musculus	Metazoa	259		False
Q61823	Mus musculus	Metazoa	469		False
Q9UJM8	Homo sapiens	Metazoa	370		False
Q1K5R0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	108		False
Q9P7B7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	295		False
Q9JMA2	Mus musculus	Metazoa	403		False
P16862	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	959		False
Q12045	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	647		False
Q9UJ42	Homo sapiens	Metazoa	338		True
P52488	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	636		False
O88873	Rattus norvegicus	Metazoa	529		False
O74975	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	362		False
Q9Y5Z4	Homo sapiens	Metazoa	205		False
Q9S7Z2	Arabidopsis thaliana	Viridiplantae	319		False
Q08282	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	695		False
P30706	Pisum sativum	Viridiplantae	457		False
Q93560	Caenorhabditis elegans	Metazoa	817		False
Q969G3	Homo sapiens	Metazoa	411		False
Q6NZY4	Homo sapiens	Metazoa	707		False
P38075	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	228		False
P43596	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	787		False
Q8MIR0	Sus scrofa	Metazoa	373		False
Q93YU8	Arabidopsis thaliana	Viridiplantae	796		False
Q9DBD5	Mus musculus	Metazoa	1123		False
Q20977	Caenorhabditis elegans	Metazoa	567		False
O75575	Homo sapiens	Metazoa	148		False
P35637	Homo sapiens	Metazoa	526		False
Q7TMA4	Mus musculus	Metazoa	361		True
P97577	Rattus norvegicus	Metazoa	393		False
Q9M9L6	Arabidopsis thaliana	Viridiplantae	211		False
Q00013	Homo sapiens	Metazoa	466		False
Q9LVS0	Arabidopsis thaliana	Viridiplantae	365		False
Q8TEK3	Homo sapiens	Metazoa	1537		False
P22985	Rattus norvegicus	Metazoa	1331		False
P47130	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	423		False
Q9UTH3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	775		False
Q98TA5	Xenopus laevis	Metazoa	896		False
Q15049	Homo sapiens	Metazoa	377		True
Q61624	Mus musculus	Metazoa	794		False
Q9VHB0	Drosophila melanogaster	Metazoa	874		False
Q8LDL0	Arabidopsis thaliana	Viridiplantae	231		False
P06267	Marchantia polymorpha	Viridiplantae	289		False
Q9P7Y0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	395		False
Q99547	Homo sapiens	Metazoa	160		False
Q15365	Homo sapiens	Metazoa	356		False
Q9H8H0	Homo sapiens	Metazoa	719		False
P40305	Homo sapiens	Metazoa	122		True
Q8I299	Plasmodium falciparum (isolate 3D7)	Other	791		False
Q08245	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	113		False
Q96Q11	Homo sapiens	Metazoa	434		False
Q5QGS0	Homo sapiens	Metazoa	1516		False
P17442	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1178		False
Q9UNQ2	Homo sapiens	Metazoa	313		False
Q04781	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1562		False
Q5BKR2	Mus musculus	Metazoa	547		True
E9P8D2	Saccharomyces cerevisiae	Fungi	229		False
Q01329	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	785		False
P47118	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	141		False
Q06682	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	500		False
Q9ULE6	Homo sapiens	Metazoa	856		False
O94708	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	394		False
Q3SZC1	Bos taurus	Metazoa	217		False
Q14203	Homo sapiens	Metazoa	1278		False
P32569	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	687		False
P23369	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	157		False
P25208	Homo sapiens	Metazoa	207		False
Q21691	Caenorhabditis elegans	Metazoa	1057		False
A1A519	Homo sapiens	Metazoa	330		False
P25420	Heliothis virescens	Metazoa	569		False
Q9W261	Drosophila melanogaster	Metazoa	775		False
Q8LIY8	Oryza sativa subsp. japonica	Viridiplantae	569		False
Q9S816	Arabidopsis thaliana	Viridiplantae	521		False
P36064	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	111		False
P56182	Homo sapiens	Metazoa	461		False
Q1MTN9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	544		False
Q969Y2	Homo sapiens	Metazoa	492		False
Q60838	Mus musculus	Metazoa	736		False
Q86VP6	Homo sapiens	Metazoa	1230		False
Q7Z624	Homo sapiens	Metazoa	323		False
Q9UUH6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	188		False
A8J785	Chlamydomonas reinhardtii	Viridiplantae	209		True
Q9NWT6	Homo sapiens	Metazoa	349		False
Q8C886	Mus musculus	Metazoa	610		False
Q27403	Drosophila melanogaster	Metazoa	504		False
Q9JM80	Rattus norvegicus	Metazoa	424		True
Q61097	Mus musculus	Metazoa	873		False
Q8S1D9	Oryza sativa subsp. japonica	Viridiplantae	435		False
P49599	Arabidopsis thaliana	Viridiplantae	388		False
Q1ZXU0	Caenorhabditis elegans	Metazoa	205		False
P60709	Homo sapiens	Metazoa	375		False
Q2HJ10	Mus musculus	Metazoa	371		True
Q76PC4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	562		False
O14318	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	295		False
Q96CW1	Homo sapiens	Metazoa	435		False
P23542	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	418		False
P25298	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	677		False
P83876	Homo sapiens	Metazoa	142		False
P53507	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	60		True
Q9VW15	Drosophila melanogaster	Metazoa	2226		False
Q10337	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	849		False
P0DKH5	Arabidopsis thaliana	Viridiplantae	1288		False
Q9UU79	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	260		False
P53140	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	646		False
Q0E3V2	Oryza sativa subsp. japonica	Viridiplantae	165		False
Q3V0B4	Mus musculus	Metazoa	1847		False
Q9LPW3	Arabidopsis thaliana	Viridiplantae	450		False
O42666	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	243		False
Q53TQ3	Homo sapiens	Metazoa	1027		False
O44476	Caenorhabditis elegans	Metazoa	833		False
P38628	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	557		False
Q18825	Caenorhabditis elegans	Metazoa	811		False
O64750	Arabidopsis thaliana	Viridiplantae	186		False
Q53GL0	Homo sapiens	Metazoa	409		False
Q40460	Nicotiana tabacum	Viridiplantae	442		False
Q9SU56	Arabidopsis thaliana	Viridiplantae	610		True
P38855	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283		False
Q9Y5J6	Homo sapiens	Metazoa	103		False
Q56VL3	Homo sapiens	Metazoa	154		False
J9VE33	Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487)	Fungi	1094		False
Q9FNC7	Arabidopsis thaliana	Viridiplantae	717		False
Q66HL2	Rattus norvegicus	Metazoa	509		False
Q9FFY9	Arabidopsis thaliana	Viridiplantae	640		False
Q587J8	Homo sapiens	Metazoa	217		False
F4J7T2	Arabidopsis thaliana	Viridiplantae	1907		False
Q9HDZ6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	155		False
Q2MH31	Mus musculus	Metazoa	260		False
Q9UMN6	Homo sapiens	Metazoa	2715		False
P11943	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	134		False
Q8GW29	Arabidopsis thaliana	Viridiplantae	217		False
G5EF48	Caenorhabditis elegans	Metazoa	350		True
Q03373	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	323		False
O35484	Mus musculus	Metazoa	448		False
Q06109	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	277		False
Q550D5	Dictyostelium discoideum	Other	872		False
P40630	Mus musculus	Metazoa	243		False
Q8IXQ9	Homo sapiens	Metazoa	262		False
O96759	Dictyostelium discoideum	Other	611		False
Q07436	Drosophila melanogaster	Metazoa	1427		False
Q9DCD5	Mus musculus	Metazoa	549		False
P43605	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	281		False
P32198	Rattus norvegicus	Metazoa	773		True
Q7TQP3	Mus musculus	Metazoa	335		True
Q9SNX8	Apium graveolens	Viridiplantae	496		False
P97524	Rattus norvegicus	Metazoa	620		True
P53734	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	629		False
Q9LEV3	Arabidopsis thaliana	Viridiplantae	206		False
O59748	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	335		False
E3SCZ8	Cavia porcellus	Metazoa	142		False
Q6P6C2	Homo sapiens	Metazoa	394		False
O74361	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	356		False
Q944H2	Arabidopsis thaliana	Viridiplantae	391		False
Q6P087	Homo sapiens	Metazoa	351		False
Q16617	Homo sapiens	Metazoa	165		True
Q9NWU2	Homo sapiens	Metazoa	228		False
Q96C86	Homo sapiens	Metazoa	337		False
Q8WUU5	Homo sapiens	Metazoa	269		False
Q949T8	Arabidopsis thaliana	Viridiplantae	497		False
P41930	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	458		True
P0C512	Oryza sativa subsp. japonica	Viridiplantae	477		False
Q969F1	Homo sapiens	Metazoa	213		False
P13002	Drosophila melanogaster	Metazoa	1333		False
Q9USP9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	589		False
P41002	Homo sapiens	Metazoa	786		False
Q8IWZ4	Homo sapiens	Metazoa	224		False
Q811H0	Mus musculus	Metazoa	420		False
P0DXC1	Homo sapiens	Metazoa	130		False
P02489	Homo sapiens	Metazoa	173		False
Q9P287	Homo sapiens	Metazoa	314		False
Q9V6Q2	Drosophila melanogaster	Metazoa	225		False
H2KYU6	Caenorhabditis elegans	Metazoa	529		False
Q92979	Homo sapiens	Metazoa	244		False
A2VEY9	Drosophila melanogaster	Metazoa	693		True
Q9DAG4	Mus musculus	Metazoa	180		False
Q6NLQ7	Arabidopsis thaliana	Viridiplantae	476		False
O74374	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	554		False
Q86LG1	Drosophila melanogaster	Metazoa	606		True
O35465	Mus musculus	Metazoa	402		False
O95071	Homo sapiens	Metazoa	2799		False
Q03834	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1242		False
Q03973	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	246		False
P56280	Mus musculus	Metazoa	116		False
Q9H2S6	Homo sapiens	Metazoa	317		True
B5X0I6	Arabidopsis thaliana	Viridiplantae	1091		False
P51795	Homo sapiens	Metazoa	816		False
O42958	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	754		False
O74560	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	636		False
Q7K3D8	Drosophila melanogaster	Metazoa	433		False
P0DKJ7	Arabidopsis thaliana	Viridiplantae	813		False
Q9UT76	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	393		False
Q9LIQ6	Arabidopsis thaliana	Viridiplantae	234		False
Q62908	Rattus norvegicus	Metazoa	193		False
O76329	Dictyostelium discoideum	Other	1738		False
Q10R09	Oryza sativa subsp. japonica	Viridiplantae	310		False
O14329	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	386		False
Q59RL7	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	853		False
P82970	Homo sapiens	Metazoa	282		False
P38279	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	296		True
Q8R0W0	Mus musculus	Metazoa	6548		False
Q84JU6	Arabidopsis thaliana	Viridiplantae	927		False
Q03372	Drosophila melanogaster	Metazoa	515		False
Q9V4C8	Drosophila melanogaster	Metazoa	1500		False
O60182	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	934		False
O14015	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	150		False
O75496	Homo sapiens	Metazoa	209		False
Q9H6U6	Homo sapiens	Metazoa	928		False
P25696	Arabidopsis thaliana	Viridiplantae	444		False
Q8R5A0	Mus musculus	Metazoa	433		False
Q9P000	Homo sapiens	Metazoa	198		False
Q9BTV5	Homo sapiens	Metazoa	496		False
P82137	Spinacia oleracea	Viridiplantae	165		False
P47112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	604		False
Q558Z2	Dictyostelium discoideum	Other	905		False
Q07510	Spinacia oleracea	Viridiplantae	405		False
Q04002	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1493		False
Q54T86	Dictyostelium discoideum	Other	568		False
Q9NPI8	Homo sapiens	Metazoa	374		False
Q96EY5	Homo sapiens	Metazoa	273		False
Q9SR62	Arabidopsis thaliana	Viridiplantae	309		False
Q7JWP6	Drosophila melanogaster	Metazoa	221		False
P23255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1407		False
P25637	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	258		False
D0VWV4	Sus scrofa	Metazoa	169		True
Q7RYW8	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	258		False
P04386	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	881		False
Q06106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	887		False
P92949	Arabidopsis thaliana	Viridiplantae	725		True
Q03433	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	280		False
O23193	Arabidopsis thaliana	Viridiplantae	236		False
Q3UB74	Mus musculus	Metazoa	406		False
Q9USY8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	166		False
Q5XKL5	Homo sapiens	Metazoa	1792		False
O54942	Mus musculus	Metazoa	218		True
P49685	Homo sapiens	Metazoa	360		True
Q9BRV3	Homo sapiens	Metazoa	221		True
Q923S6	Mus musculus	Metazoa	574		False
P30038	Homo sapiens	Metazoa	563		False
Q94BT9	Arabidopsis thaliana	Viridiplantae	76		False
P50531	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	606		False
P32120	Bos taurus	Metazoa	420		False
Q00471	Chlamydomonas reinhardtii	Viridiplantae	215		True
A0A1S4FPC9	Aedes aegypti	Metazoa	3364		False
P87297	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	90		False
O23722	Arabidopsis thaliana	Viridiplantae	412		False
A0A163UT06	Caenorhabditis elegans	Metazoa	277		False
P42736	Arabidopsis thaliana	Viridiplantae	248		False
Q9ULU4	Homo sapiens	Metazoa	1186		False
P32389	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	672		False
Q8IYM2	Homo sapiens	Metazoa	578		False
P92792	Solanum tuberosum	Viridiplantae	204		False
O14802	Homo sapiens	Metazoa	1390		False
Q12049	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	470		False
P28324	Homo sapiens	Metazoa	431		False
O15226	Homo sapiens	Metazoa	690		False
Q9NYV6	Homo sapiens	Metazoa	651		False
O02696	Sus scrofa	Metazoa	877		False
Q96EV8	Homo sapiens	Metazoa	351		False
Q9D1E5	Mus musculus	Metazoa	489		True
Q10424	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	330		False
Q5TEU4	Homo sapiens	Metazoa	345		False
P40528	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	902		False
Q92317	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	146		False
Q9Y6X3	Homo sapiens	Metazoa	613		False
Q9FNQ0	Arabidopsis thaliana	Viridiplantae	625		False
P13405	Mus musculus	Metazoa	921		False
