Accession	Organism	Kingdom	Sequence length	SP cleavage	label	N-term transmembrane	fold
Q12981	Homo sapiens	Metazoa	228		0	FALSE	1
Q6PDS3	Mus musculus	Metazoa	724		0	FALSE	3
Q9Y448	Homo sapiens	Metazoa	316		0	FALSE	3
O75817	Homo sapiens	Metazoa	140		0	FALSE	3
Q9FN48	Arabidopsis thaliana	Viridiplantae	387		0	FALSE	0
Q63472	Rattus norvegicus	Metazoa	962		0	FALSE	3
Q9VJN5	Drosophila melanogaster	Metazoa	470		0	FALSE	3
Q02206	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	625		0	FALSE	1
P82869	Arabidopsis thaliana	Viridiplantae	466		0	FALSE	1
P92966	Arabidopsis thaliana	Viridiplantae	356		0	FALSE	4
P54105	Homo sapiens	Metazoa	237		0	FALSE	1
Q3E764	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	64		0	FALSE	1
P16965	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	84		0	FALSE	4
Q04013	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	314		0	TRUE	1
Q9HAZ2	Homo sapiens	Metazoa	1276		0	FALSE	0
Q8IZA0	Homo sapiens	Metazoa	1049		0	TRUE	2
P35728	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	441		0	FALSE	1
Q27368	Drosophila melanogaster	Metazoa	805		0	FALSE	4
Q94AT3	Arabidopsis thaliana	Viridiplantae	378		0	FALSE	2
Q9TY84	Crithidia fasciculata	Other	130		0	FALSE	1
P43569	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	289		0	FALSE	4
Q924K8	Mus musculus	Metazoa	591		0	FALSE	4
P32567	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	862		0	FALSE	4
O74443	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	272		0	FALSE	3
Q9D8V0	Mus musculus	Metazoa	378		0	TRUE	1
O74553	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	326		0	FALSE	4
Q96I76	Homo sapiens	Metazoa	525		0	FALSE	0
P19538	Drosophila melanogaster	Metazoa	1397		0	FALSE	3
Q680Q4	Arabidopsis thaliana	Viridiplantae	884		0	FALSE	2
Q84V03	Arabidopsis thaliana	Viridiplantae	778		0	FALSE	2
Q13352	Homo sapiens	Metazoa	177		0	FALSE	1
Q5FWH3	Mus musculus	Metazoa	603		0	FALSE	2
E7F568	Danio rerio	Metazoa	1343		0	FALSE	3
Q7S054	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	300		0	FALSE	2
Q5XIQ3	Rattus norvegicus	Metazoa	316		0	FALSE	1
A0A3B3IS91	Homo sapiens	Metazoa	260		0	FALSE	4
O88492	Mus musculus	Metazoa	1403		0	FALSE	3
Q9FGS4	Arabidopsis thaliana	Viridiplantae	718		0	FALSE	0
Q9P7K5	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1098		0	FALSE	4
O08574	Mus musculus	Metazoa	370		0	FALSE	4
Q06339	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	672		0	FALSE	3
P97376	Mus musculus	Metazoa	258		0	FALSE	0
Q9W1X4	Drosophila melanogaster	Metazoa	1711		0	FALSE	4
Q3U2U7	Mus musculus	Metazoa	461		0	FALSE	4
O80683	Arabidopsis thaliana	Viridiplantae	238		0	FALSE	3
Q6LA53	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	346		0	FALSE	4
Q6UWZ7	Homo sapiens	Metazoa	409		0	FALSE	2
P53083	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	459		0	FALSE	1
Q9ZVD0	Arabidopsis thaliana	Viridiplantae	720		0	FALSE	1
A2AAJ9	Mus musculus	Metazoa	8886		0	FALSE	0
P53165	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	657		0	FALSE	1
P17214	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	699		0	FALSE	4
P97480	Mus musculus	Metazoa	510		0	FALSE	1
P40205	Homo sapiens	Metazoa	109		0	FALSE	4
Q04751	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	285		0	FALSE	3
Q6PEM8	Mus musculus	Metazoa	459		0	TRUE	4
Q941D3	Arabidopsis thaliana	Viridiplantae	239		0	FALSE	4
Q96NC0	Homo sapiens	Metazoa	199		0	FALSE	4
O82392	Arabidopsis thaliana	Viridiplantae	644		0	FALSE	2
Q9Y7M6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	217		0	FALSE	1
Q9NXF7	Homo sapiens	Metazoa	216		0	FALSE	2
P04040	Homo sapiens	Metazoa	527		0	FALSE	1
O24463	Zea mays	Viridiplantae	328		0	FALSE	2
G5EDE2	Caenorhabditis elegans	Metazoa	175		0	FALSE	3
Q02486	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	183		0	FALSE	0
Q9P258	Homo sapiens	Metazoa	522		0	FALSE	3
Q86PD7	Drosophila melanogaster	Metazoa	354		0	FALSE	4
Q3V6T2	Homo sapiens	Metazoa	1871		0	FALSE	0
Q9CQP8	Mus musculus	Metazoa	194		0	FALSE	1
Q8I615	Plasmodium falciparum (isolate 3D7)	Other	1189		0	FALSE	0
Q9WVJ4	Rattus norvegicus	Metazoa	145		0	FALSE	4
Q18490	Caenorhabditis elegans	Metazoa	142		0	FALSE	1
Q02297	Homo sapiens	Metazoa	640		0	FALSE	1
P91399	Caenorhabditis elegans	Metazoa	926		0	FALSE	2
O44997	Caenorhabditis elegans	Metazoa	1425		0	FALSE	0
Q9NQ92	Homo sapiens	Metazoa	184		0	FALSE	0
P52739	Homo sapiens	Metazoa	623		0	FALSE	3
Q8IQG1	Drosophila melanogaster	Metazoa	566		0	FALSE	4
Q3TY86	Mus musculus	Metazoa	605		0	FALSE	1
E3VNM4	Arabidopsis thaliana	Viridiplantae	460		0	FALSE	1
P42771	Homo sapiens	Metazoa	156		0	FALSE	3
Q80T79	Mus musculus	Metazoa	3707		0	TRUE	4
F4JVI3	Arabidopsis thaliana	Viridiplantae	493		0	FALSE	1
Q54SM3	Dictyostelium discoideum	Other	179		0	FALSE	2
P38737	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1868		0	FALSE	3
Q501D2	Arabidopsis thaliana	Viridiplantae	572		0	FALSE	3
Q9SX99	Arabidopsis thaliana	Viridiplantae	261		0	FALSE	1
Q811A2	Rattus norvegicus	Metazoa	172		0	TRUE	2
Q95Q39	Caenorhabditis elegans	Metazoa	287		0	TRUE	4
Q6ZY51	Arabidopsis thaliana	Viridiplantae	1196		0	FALSE	4
Q53EK2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	232		0	FALSE	3
Q9Y3B8	Homo sapiens	Metazoa	237		0	FALSE	1
Q86V97	Homo sapiens	Metazoa	674		0	FALSE	3
P82929	Bos taurus	Metazoa	218		0	FALSE	4
P0CX38	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	236		0	FALSE	3
O08691	Mus musculus	Metazoa	354		0	FALSE	4
Q12374	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	616		0	FALSE	1
O55236	Mus musculus	Metazoa	597		0	FALSE	4
P38208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133		0	FALSE	4
Q15464	Homo sapiens	Metazoa	509		0	FALSE	3
Q9FNY2	Arabidopsis thaliana	Viridiplantae	385		0	FALSE	2
P32903	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	40		0	TRUE	3
Q6UXN9	Homo sapiens	Metazoa	313		0	FALSE	3
Q3E840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	82		0	FALSE	0
P11471	Chlamydomonas reinhardtii	Viridiplantae	245		0	FALSE	4
Q08558	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	271		0	FALSE	2
Q9UHV9	Homo sapiens	Metazoa	154		0	FALSE	4
P03871	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	373		0	FALSE	0
Q9WU70	Rattus norvegicus	Metazoa	1152		0	FALSE	3
Q9M2V1	Arabidopsis thaliana	Viridiplantae	405		0	FALSE	1
O15374	Homo sapiens	Metazoa	487		0	TRUE	0
H2L0G5	Caenorhabditis elegans	Metazoa	1367		0	FALSE	2
Q80U87	Mus musculus	Metazoa	1080		0	FALSE	3
Q9UJW9	Homo sapiens	Metazoa	196		0	FALSE	0
P53068	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	250		0	FALSE	4
O94667	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	560		0	FALSE	2
Q39134	Arabidopsis thaliana	Viridiplantae	476		0	TRUE	1
Q5VYK3	Homo sapiens	Metazoa	1845		0	FALSE	2
P30997	Gallus gallus	Metazoa	906		0	FALSE	3
Q03388	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	795		0	FALSE	0
Q07307	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	574		0	TRUE	0
Q9FVQ1	Arabidopsis thaliana	Viridiplantae	557		0	FALSE	2
Q9Z1P6	Mus musculus	Metazoa	113		0	FALSE	0
P46984	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	123		0	FALSE	2
Q7ZT47	Xenopus laevis	Metazoa	196		0	FALSE	3
Q5PP37	Arabidopsis thaliana	Viridiplantae	473		0	FALSE	2
Q8IWV1	Homo sapiens	Metazoa	398		0	TRUE	0
G5ECG2	Caenorhabditis elegans	Metazoa	467		0	FALSE	1
Q03954	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	165		0	FALSE	1
Q9ERG0	Mus musculus	Metazoa	753		0	FALSE	3
P53332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	305		0	FALSE	2
Q9FQ09	Arabidopsis thaliana	Viridiplantae	680		0	FALSE	2
P30155	Nicotiana tabacum	Viridiplantae	179		0	FALSE	3
O96237	Plasmodium falciparum (isolate 3D7)	Other	899		0	FALSE	1
A0A0D1DMJ6	Mycosarcoma maydis	Fungi	757		0	FALSE	2
Q9STY0	Arabidopsis thaliana	Viridiplantae	227		0	TRUE	2
P53184	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	216		0	FALSE	3
P10176	Homo sapiens	Metazoa	69		0	TRUE	2
Q96247	Arabidopsis thaliana	Viridiplantae	485		0	TRUE	3
Q8WYK0	Homo sapiens	Metazoa	555		0	FALSE	2
P21375	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	501		0	FALSE	3
Q3URS9	Mus musculus	Metazoa	406		0	FALSE	3
Q7SB98	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	312		0	FALSE	2
Q14498	Homo sapiens	Metazoa	530		0	FALSE	2
O75952	Homo sapiens	Metazoa	493		0	FALSE	1
P54345	Chlamydomonas reinhardtii	Viridiplantae	156		0	FALSE	4
Q9P7V3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	220		0	FALSE	4
Q9VLP3	Drosophila melanogaster	Metazoa	122		0	FALSE	1
P53251	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210		0	FALSE	4
Q86MI0	Caenorhabditis elegans	Metazoa	468		0	FALSE	1
Q23045	Caenorhabditis elegans	Metazoa	470		0	FALSE	3
P21245	Candida boidinii	Fungi	423		0	TRUE	1
A0A7U2QXY7	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	Fungi	438		0	FALSE	3
P54113	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	591		0	FALSE	1
Q9UK99	Homo sapiens	Metazoa	471		0	FALSE	1
Q7M3M8	Drosophila melanogaster	Metazoa	793		0	FALSE	1
Q56P42	Homo sapiens	Metazoa	97		0	FALSE	4
Q9BZZ5	Homo sapiens	Metazoa	524		0	FALSE	3
P34225	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	687		0	FALSE	4
Q8WYQ5	Homo sapiens	Metazoa	773		0	FALSE	4
Q6VMQ6	Homo sapiens	Metazoa	1270		0	FALSE	1
Q04177	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	643		0	FALSE	0
Q9VB62	Drosophila melanogaster	Metazoa	609		0	FALSE	0
Q8H0V4	Arabidopsis thaliana	Viridiplantae	722		0	FALSE	0
Q7Z6G3	Homo sapiens	Metazoa	386		0	FALSE	1
Q01593	Arabidopsis thaliana	Viridiplantae	720		0	FALSE	4
Q06625	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1536		0	FALSE	1
P34537	Caenorhabditis elegans	Metazoa	837		0	FALSE	3
Q06639	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	885		0	FALSE	1
Q9FFC7	Arabidopsis thaliana	Viridiplantae	978		0	FALSE	1
Q9H840	Homo sapiens	Metazoa	131		0	FALSE	2
O95180	Homo sapiens	Metazoa	2353		0	FALSE	2
P53061	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	704		0	FALSE	1
P39717	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	880		0	FALSE	2
Q02685	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	241		0	FALSE	2
P36056	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	628		0	FALSE	4
P40161	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	455		0	FALSE	3
Q15233	Homo sapiens	Metazoa	471		0	FALSE	1
P41698	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	603		0	FALSE	2
Q09260	Caenorhabditis elegans	Metazoa	490		0	FALSE	0
Q49B96	Homo sapiens	Metazoa	90		0	FALSE	0
P23116	Mus musculus	Metazoa	1344		0	FALSE	0
Q09793	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	425		0	FALSE	0
Q06389	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	190		0	FALSE	2
Q96K80	Homo sapiens	Metazoa	434		0	FALSE	1
Q9WU79	Mus musculus	Metazoa	599		0	FALSE	2
P93009	Arabidopsis thaliana	Viridiplantae	182		0	FALSE	3
P81451	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	68		0	TRUE	1
Q8K4V4	Rattus norvegicus	Metazoa	539		0	FALSE	3
O74958	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	488		0	FALSE	0
P21771	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	286		0	FALSE	4
Q504Q3	Homo sapiens	Metazoa	1202		0	FALSE	2
Q96ST2	Homo sapiens	Metazoa	819		0	FALSE	0
O14880	Homo sapiens	Metazoa	152		0	TRUE	2
Q1H5E9	Arabidopsis thaliana	Viridiplantae	397		0	FALSE	4
Q06236	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	168		0	TRUE	1
P82538	Arabidopsis thaliana	Viridiplantae	230		0	FALSE	3
P03925	Mus musculus	Metazoa	172		0	TRUE	0
P79005	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	663		0	FALSE	0
P57743	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	89		0	FALSE	0
Q9GZT6	Homo sapiens	Metazoa	254		0	FALSE	4
Q62696	Rattus norvegicus	Metazoa	911		0	FALSE	3
O75475	Homo sapiens	Metazoa	530		0	FALSE	1
Q9NPB1	Homo sapiens	Metazoa	228		0	FALSE	4
P27351	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	700		0	FALSE	3
Q64471	Mus musculus	Metazoa	240		0	FALSE	1
Q7L5Y1	Homo sapiens	Metazoa	443		0	FALSE	0
Q9SLB9	Arabidopsis thaliana	Viridiplantae	450		0	FALSE	4
Q9ASS2	Arabidopsis thaliana	Viridiplantae	601		0	FALSE	0
Q9SJW9	Arabidopsis thaliana	Viridiplantae	571		0	FALSE	4
Q8IWL8	Homo sapiens	Metazoa	128		0	FALSE	4
P42858	Homo sapiens	Metazoa	3142		0	FALSE	0
P34162	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210		0	FALSE	0
P46947	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	266		0	FALSE	3
Q9BQ69	Homo sapiens	Metazoa	325		0	FALSE	1
Q04049	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	632		0	FALSE	0
Q9Y4E5	Homo sapiens	Metazoa	1061		0	FALSE	3
Q12259	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	485		0	FALSE	0
Q6NZ36	Homo sapiens	Metazoa	180		0	FALSE	2
O60779	Homo sapiens	Metazoa	497		0	TRUE	2
Q39002	Arabidopsis thaliana	Viridiplantae	624		0	FALSE	1
Q3SXM5	Homo sapiens	Metazoa	330		0	FALSE	4
Q9BSD3	Homo sapiens	Metazoa	238		0	FALSE	0
Q10953	Caenorhabditis elegans	Metazoa	796		0	FALSE	1
Q9M5P3	Arabidopsis thaliana	Viridiplantae	354		0	FALSE	4
P49454	Homo sapiens	Metazoa	3114		0	FALSE	2
O49570	Arabidopsis thaliana	Viridiplantae	650		0	FALSE	3
Q07555	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	291		0	FALSE	1
Q9N589	Caenorhabditis elegans	Metazoa	588		0	FALSE	4
P83214	Octopus vulgaris	Metazoa	56		0	FALSE	4
Q9LPL4	Arabidopsis thaliana	Viridiplantae	360		0	FALSE	1
Q9FFK6	Arabidopsis thaliana	Viridiplantae	810		0	FALSE	2
P19536	Mus musculus	Metazoa	128		0	FALSE	4
P26370	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	528		0	FALSE	4
Q6GNV6	Xenopus laevis	Metazoa	856		0	FALSE	4
P53803	Homo sapiens	Metazoa	58		0	FALSE	0
Q9NRA8	Homo sapiens	Metazoa	985		0	FALSE	4
P35435	Rattus norvegicus	Metazoa	273		0	FALSE	3
P12297	Drosophila melanogaster	Metazoa	963		0	FALSE	3
O88713	Mus musculus	Metazoa	188		0	TRUE	4
Q99LG4	Mus musculus	Metazoa	440		0	FALSE	0
O95415	Homo sapiens	Metazoa	125		0	TRUE	4
Q76JU9	Mus musculus	Metazoa	300		0	TRUE	0
O43805	Homo sapiens	Metazoa	119		0	FALSE	1
Q5SUQ9	Mus musculus	Metazoa	1212		0	FALSE	2
P46379	Homo sapiens	Metazoa	1132		0	FALSE	4
P34708	Caenorhabditis elegans	Metazoa	1110		0	FALSE	0
Q96SK2	Homo sapiens	Metazoa	561		0	TRUE	1
Q9SN74	Arabidopsis thaliana	Viridiplantae	240		0	FALSE	1
P23611	Mus musculus	Metazoa	424		0	FALSE	3
Q8VYD2	Arabidopsis thaliana	Viridiplantae	386		0	FALSE	4
O14310	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	933		0	FALSE	2
Q9JHI9	Mus musculus	Metazoa	570		0	TRUE	4
Q8RXA7	Arabidopsis thaliana	Viridiplantae	1187		0	FALSE	2
P22293	Drosophila melanogaster	Metazoa	1325		0	FALSE	4
Q9JL55	Rattus norvegicus	Metazoa	331		0	TRUE	3
Q12216	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	726		0	FALSE	4
Q8TC56	Homo sapiens	Metazoa	605		0	FALSE	1
Q09330	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	199		0	FALSE	2
E9QDC5	Danio rerio	Metazoa	294		0	TRUE	1
Q18909	Caenorhabditis elegans	Metazoa	319		0	FALSE	2
Q8R4N0	Mus musculus	Metazoa	338		0	FALSE	1
Q9BPY3	Homo sapiens	Metazoa	351		0	FALSE	2
Q9JLI6	Mus musculus	Metazoa	432		0	FALSE	3
Q91WW3	Mus musculus	Metazoa	302		0	TRUE	0
Q12748	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	733		0	FALSE	2
Q7SAJ1	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	236		0	FALSE	4
Q9DCX7	Mus musculus	Metazoa	243		0	TRUE	2
Q12072	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	812		0	FALSE	3
Q9QY24	Mus musculus	Metazoa	411		0	FALSE	0
Q7FAD5	Oryza sativa subsp. japonica	Viridiplantae	869		0	FALSE	1
Q94527	Drosophila melanogaster	Metazoa	971		0	FALSE	0
Q69ZF8	Mus musculus	Metazoa	577		0	FALSE	2
Q9EPL8	Mus musculus	Metazoa	1038		0	FALSE	2
Q9Y5Q8	Homo sapiens	Metazoa	519		0	FALSE	1
Q9N4U5	Caenorhabditis elegans	Metazoa	547		0	FALSE	1
P55263	Homo sapiens	Metazoa	362		0	FALSE	0
P97813	Mus musculus	Metazoa	933		0	FALSE	2
Q7SB95	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	117		0	FALSE	1
Q9SG11	Arabidopsis thaliana	Viridiplantae	352		0	FALSE	3
O94355	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	240		0	FALSE	4
Q9SAL0	Arabidopsis thaliana	Viridiplantae	401		0	FALSE	4
Q8NBA8	Homo sapiens	Metazoa	298		0	FALSE	4
Q9UFW8	Homo sapiens	Metazoa	167		0	FALSE	1
O88597	Mus musculus	Metazoa	448		0	FALSE	0
Q9N425	Caenorhabditis elegans	Metazoa	501		0	FALSE	3
Q9Y7U4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	328		0	FALSE	4
Q9SJZ6	Arabidopsis thaliana	Viridiplantae	219		0	FALSE	0
Q8MMZ7	Toxoplasma gondii	Other	994		0	FALSE	3
P17119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	729		0	FALSE	0
Q9USW5	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	262		0	FALSE	2
P49769	Mus musculus	Metazoa	467		0	TRUE	3
Q12178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	158		0	FALSE	4
P38811	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	3744		0	FALSE	0
Q92574	Homo sapiens	Metazoa	1164		0	FALSE	2
Q8WWM7	Homo sapiens	Metazoa	1075		0	FALSE	4
Q96SD1	Homo sapiens	Metazoa	692		0	FALSE	2
Q9JJ09	Rattus norvegicus	Metazoa	695		0	FALSE	4
Q8GXR9	Arabidopsis thaliana	Viridiplantae	519		0	FALSE	2
Q9USX4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	108		0	FALSE	0
O47027	Chlamydomonas reinhardtii	Viridiplantae	570		0	FALSE	3
Q54KF1	Dictyostelium discoideum	Other	1158		0	FALSE	1
Q3E7Y6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	73		0	FALSE	0
Q9VNH1	Drosophila melanogaster	Metazoa	300		0	FALSE	0
Q9VT00	Drosophila melanogaster	Metazoa	2351		0	FALSE	1
Q20024	Caenorhabditis elegans	Metazoa	306		0	FALSE	1
Q9CR14	Mus musculus	Metazoa	375		0	FALSE	0
Q6PH85	Homo sapiens	Metazoa	259		0	FALSE	0
O94538	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	649		0	FALSE	2
Q6B860	Bos taurus	Metazoa	128		0	FALSE	1
Q08GK9	Mullus surmuletus	Metazoa	178		0	FALSE	1
P48595	Homo sapiens	Metazoa	397		0	FALSE	1
Q9VRP5	Drosophila melanogaster	Metazoa	1038		0	FALSE	3
Q9NVU0	Homo sapiens	Metazoa	708		0	FALSE	4
Q9LEZ1	Arabidopsis thaliana	Viridiplantae	144		0	FALSE	4
Q9VH36	Drosophila melanogaster	Metazoa	585		0	FALSE	2
Q9XIA7	Arabidopsis thaliana	Viridiplantae	54		0	TRUE	4
Q96B42	Homo sapiens	Metazoa	140		0	TRUE	4
P06367	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	137		0	FALSE	4
Q5VW36	Homo sapiens	Metazoa	1801		0	FALSE	1
Q86YV9	Homo sapiens	Metazoa	775		0	FALSE	0
Q91YE8	Mus musculus	Metazoa	1087		0	FALSE	3
Q12068	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	342		0	FALSE	2
P00396	Bos taurus	Metazoa	514		0	TRUE	0
Q61161	Mus musculus	Metazoa	821		0	FALSE	1
Q15022	Homo sapiens	Metazoa	739		0	FALSE	2
Q99359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	647		0	FALSE	4
Q641G7	Xenopus laevis	Metazoa	168		0	FALSE	4
Q8R4C2	Mus musculus	Metazoa	606		0	FALSE	2
Q9H7L9	Homo sapiens	Metazoa	328		0	FALSE	2
P53297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	722		0	FALSE	0
Q12050	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	791		0	FALSE	4
O70456	Mus musculus	Metazoa	248		0	FALSE	2
Q9GYS1	Caenorhabditis elegans	Metazoa	459		0	FALSE	3
Q19404	Caenorhabditis elegans	Metazoa	442		0	FALSE	1
P08525	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	94		0	TRUE	0
F4HRV8	Arabidopsis thaliana	Viridiplantae	596		0	FALSE	3
Q8CGU4	Rattus norvegicus	Metazoa	1186		0	FALSE	4
I1SSI6	Petunia hybrida	Viridiplantae	723		0	FALSE	0
Q92466	Homo sapiens	Metazoa	427		0	FALSE	2
Q2LAE1	Arabidopsis thaliana	Viridiplantae	1759		0	FALSE	0
Q86UA6	Homo sapiens	Metazoa	219		0	FALSE	4
Q9SKT1	Arabidopsis thaliana	Viridiplantae	336		0	FALSE	1
Q7Z7H3	Homo sapiens	Metazoa	387		0	FALSE	0
Q8NG66	Homo sapiens	Metazoa	645		0	FALSE	2
Q944Q0	Arabidopsis thaliana	Viridiplantae	563		0	FALSE	0
P36606	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	468		0	TRUE	0
Q9VTZ2	Drosophila melanogaster	Metazoa	214		0	FALSE	0
P46972	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	177		0	FALSE	2
F4I9G2	Arabidopsis thaliana	Viridiplantae	426		0	FALSE	1
Q9SNC0	Arabidopsis thaliana	Viridiplantae	182		0	FALSE	4
Q6P589	Homo sapiens	Metazoa	184		0	FALSE	1
P18074	Homo sapiens	Metazoa	760		0	FALSE	0
Q9VBX1	Drosophila melanogaster	Metazoa	992		0	FALSE	3
Q9P6P2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	265		0	FALSE	3
Q5VT06	Homo sapiens	Metazoa	3117		0	FALSE	4
P50591	Homo sapiens	Metazoa	281		0	TRUE	2
Q13426	Homo sapiens	Metazoa	336		0	FALSE	3
P32388	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	137		0	FALSE	3
Q6P9H5	Homo sapiens	Metazoa	292		0	FALSE	2
P49756	Homo sapiens	Metazoa	843		0	FALSE	4
Q7Z2G1	Homo sapiens	Metazoa	153		0	FALSE	4
P42566	Homo sapiens	Metazoa	896		0	FALSE	2
Q9UM07	Homo sapiens	Metazoa	663		0	FALSE	1
