Accession	Organism	Kingdom	Sequence length	SP cleavage	N-term transmembrane
Q07930	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	204		False
Q18237	Caenorhabditis elegans	Metazoa	1076		False
Q22812	Caenorhabditis elegans	Metazoa	399		False
Q557E7	Dictyostelium discoideum	Other	665		False
Q8CG46	Mus musculus	Metazoa	1101		False
Q944A6	Arabidopsis thaliana	Viridiplantae	487		False
Q95RQ8	Drosophila melanogaster	Metazoa	683		False
Q9JK24	Mus musculus	Metazoa	453		False
Q9S745	Arabidopsis thaliana	Viridiplantae	541		False
Q9VYD1	Drosophila melanogaster	Metazoa	2313		False
Q9WVB3	Mus musculus	Metazoa	581		False
G5EG86	Caenorhabditis elegans	Metazoa	394		False
O80775	Arabidopsis thaliana	Viridiplantae	353		False
P22265	Drosophila melanogaster	Metazoa	954		False
P25569	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	745		False
P33418	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1100		False
P40024	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	610		False
P53720	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	384		False
Q12094	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	313		False
Q3U4H6	Mus musculus	Metazoa	486		False
Q5NCQ5	Mus musculus	Metazoa	438		False
Q802Y8	Danio rerio	Metazoa	671		False
Q8C8N2	Mus musculus	Metazoa	606		False
Q8K4J6	Mus musculus	Metazoa	964		False
Q923D5	Mus musculus	Metazoa	641		False
Q94545	Drosophila melanogaster	Metazoa	556		False
Q94BU8	Arabidopsis thaliana	Viridiplantae	185		False
Q9EPA7	Mus musculus	Metazoa	285		False
Q9LSD0	Arabidopsis thaliana	Viridiplantae	332		False
Q9NAD6	Caenorhabditis elegans	Metazoa	706		False
Q9VEC1	Drosophila melanogaster	Metazoa	642		False
Q9Z2A5	Mus musculus	Metazoa	516		False
B1ASB6	Mus musculus	Metazoa	1015		False
G5EGE9	Caenorhabditis elegans	Metazoa	1263		False
P19426	Mus musculus	Metazoa	375		False
P26321	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	297		False
P28005	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	173		False
P34447	Caenorhabditis elegans	Metazoa	867		False
P98149	Drosophila melanogaster	Metazoa	667		False
Q06340	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	456		False
Q12363	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	437		False
Q12383	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	476		False
Q23590	Caenorhabditis elegans	Metazoa	1390		False
Q5BLX8	Rattus norvegicus	Metazoa	315		False
Q5Z807	Oryza sativa subsp. japonica	Viridiplantae	390		False
Q86MD3	Caenorhabditis elegans	Metazoa	509		False
Q8K3Y6	Rattus norvegicus	Metazoa	776		False
Q96EQ9	Mus musculus	Metazoa	843		False
Q99PU7	Mus musculus	Metazoa	728		False
Q9EQ80	Mus musculus	Metazoa	376		False
Q9M4B5	Arabidopsis thaliana	Viridiplantae	129		False
Q9M8S7	Arabidopsis thaliana	Viridiplantae	313		False
Q9SJF1	Arabidopsis thaliana	Viridiplantae	589		False
Q9SUT5	Arabidopsis thaliana	Viridiplantae	358		False
Q9XIP2	Arabidopsis thaliana	Viridiplantae	505		False
Q9ZU51	Arabidopsis thaliana	Viridiplantae	147		False
A7DTF0	Caenorhabditis elegans	Metazoa	337		False
F4HXU3	Arabidopsis thaliana	Viridiplantae	142		False
F4KH86	Arabidopsis thaliana	Viridiplantae	400		False
P16550	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	321		False
P31385	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	405		False
P32349	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	654		False
P34219	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	525		False
P34440	Caenorhabditis elegans	Metazoa	261		False
P38637	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	319		False
P45432	Arabidopsis thaliana	Viridiplantae	441		False
P47171	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1648		False
P53909	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	347		False
Q03825	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	758		False
Q03862	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	593		False
Q04430	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367		False
Q06706	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1349		False
Q08985	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	325		False
Q12098	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	748		False
Q4VBD9	Mus musculus	Metazoa	706		False
Q7K4M4	Drosophila melanogaster	Metazoa	649		False
Q80TR8	Mus musculus	Metazoa	1506		False
Q80Z29	Rattus norvegicus	Metazoa	491		False
Q8VIJ5	Rattus norvegicus	Metazoa	916		False
Q91X84	Mus musculus	Metazoa	619		False
Q99321	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	188		False
Q99MY0	Mus musculus	Metazoa	378		False
Q9ERV1	Mus musculus	Metazoa	416		False
Q9LMJ4	Arabidopsis thaliana	Viridiplantae	599		False
Q9VL14	Drosophila melanogaster	Metazoa	118		False
Q08231	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	455		False
A0A140LI88	Mus musculus	Metazoa	1857		False
C8KI33	Arabidopsis thaliana	Viridiplantae	646		False
E9Q5F9	Mus musculus	Metazoa	2537		False
O35260	Rattus norvegicus	Metazoa	514		False
P32480	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	875		False
P36068	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	246		False
P36421	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	394		False
P53076	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	958		False
P53899	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	274		False
Q23973	Drosophila melanogaster	Metazoa	217		False
Q38HM4	Mus musculus	Metazoa	350		False
Q3URU2	Mus musculus	Metazoa	1571		False
Q61818	Mus musculus	Metazoa	1889		False
Q64378	Mus musculus	Metazoa	456		False
Q6IUP1	Mus musculus	Metazoa	357		False
Q94JU3	Arabidopsis thaliana	Viridiplantae	260		False
Q9C5J9	Arabidopsis thaliana	Viridiplantae	342		False
Q9V727	Drosophila melanogaster	Metazoa	1669		False
Q9XIM0	Arabidopsis thaliana	Viridiplantae	203		False
Q9XI84	Arabidopsis thaliana	Viridiplantae	482		False
Q8RWH9	Arabidopsis thaliana	Viridiplantae	513		False
Q9R0X4	Mus musculus	Metazoa	439		False
Q94AX2	Arabidopsis thaliana	Viridiplantae	277		False
Q9LSA9	Arabidopsis thaliana	Viridiplantae	339		False
Q9SX29	Arabidopsis thaliana	Viridiplantae	159		False
O22265	Arabidopsis thaliana	Viridiplantae	373		False
Q5M755	Arabidopsis thaliana	Viridiplantae	273		False
P32266	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	881		True
Q9JKF1	Mus musculus	Metazoa	1657		False
O70302	Mus musculus	Metazoa	217		False
Q93654	Caenorhabditis elegans	Metazoa	245		False
Q06506	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	573		False
Q80VY9	Mus musculus	Metazoa	698		False
Q9SJQ6	Arabidopsis thaliana	Viridiplantae	1393		False
O22832	Arabidopsis thaliana	Viridiplantae	401		False
Q9ZW85	Arabidopsis thaliana	Viridiplantae	251		False
Q75Q41	Rattus norvegicus	Metazoa	142		True
Q94515	Drosophila melanogaster	Metazoa	321		True
Q18425	Caenorhabditis elegans	Metazoa	473		False
P33448	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	61		True
P38882	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	575		False
Q04305	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	513		False
Q84JE8	Arabidopsis thaliana	Viridiplantae	694		False
Q8CD15	Mus musculus	Metazoa	465		False
Q93WX6	Arabidopsis thaliana	Viridiplantae	463		False
P07255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	59		True
P40515	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	155		False
P10964	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1664		False
P36160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	344		False
Q08096	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367		False
Q5D869	Arabidopsis thaliana	Viridiplantae	1976		False
Q8CCE9	Mus musculus	Metazoa	783		False
Q9FVW4	Arabidopsis thaliana	Viridiplantae	482		False
P32799	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	129		True
P39952	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	402		False
D3YXK1	Mus musculus	Metazoa	519		False
P38961	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	392		False
P89105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1077		False
Q84MZ4	Arabidopsis thaliana	Viridiplantae	412		False
Q9SUA1	Arabidopsis thaliana	Viridiplantae	763		False
P34247	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	250		False
P47006	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	233		False
P30605	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	584		True
P46014	Arabidopsis thaliana	Viridiplantae	581		True
Q5KS41	Arabidopsis thaliana	Viridiplantae	486		False
Q6MG82	Rattus norvegicus	Metazoa	306		False
Q9CX92	Mus musculus	Metazoa	205		True
Q945M1	Arabidopsis thaliana	Viridiplantae	117		False
Q9CQ75	Mus musculus	Metazoa	99		False
B9FDE0	Oryza sativa subsp. japonica	Viridiplantae	494		False
Q17990	Caenorhabditis elegans	Metazoa	439		True
Q9S752	Arabidopsis thaliana	Viridiplantae	388		False
P27697	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	501		False
Q5Q0E6	Arabidopsis thaliana	Viridiplantae	473		False
O08564	Rattus norvegicus	Metazoa	282		True
Q20929	Caenorhabditis elegans	Metazoa	510		True
Q24322	Drosophila melanogaster	Metazoa	899		True
Q6UVM4	Rattus norvegicus	Metazoa	1142		True
Q8BUX5	Mus musculus	Metazoa	455		True
Q9JJK1	Rattus norvegicus	Metazoa	265		True
Q9Z0D9	Mus musculus	Metazoa	354		True
Q8C9E8	Mus musculus	Metazoa	313		True
Q9WTW8	Rattus norvegicus	Metazoa	647		False
P40471	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	297		False
Q2TBE6	Mus musculus	Metazoa	479		False
P46062	Mus musculus	Metazoa	1037		False
P32335	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	436		False
P32344	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	111		False
P38323	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	520		False
Q9JJG9	Mus musculus	Metazoa	693		False
E9PVX6	Mus musculus	Metazoa	3177		False
F4KDN0	Arabidopsis thaliana	Viridiplantae	857		False
P32914	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	102		False
P40167	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	298		False
Q12754	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1228		False
Q7K4V4	Drosophila melanogaster	Metazoa	244		False
Q5BJY9	Rattus norvegicus	Metazoa	423		False
Q8LDS4	Arabidopsis thaliana	Viridiplantae	319		False
O35914	Mus musculus	Metazoa	961		False
P11101	Rattus norvegicus	Metazoa	114		False
P34341	Caenorhabditis elegans	Metazoa	821		False
Q7TQD2	Mus musculus	Metazoa	218		False
Q810M6	Mus musculus	Metazoa	228		False
A1A6M1	Arabidopsis thaliana	Viridiplantae	387		False
Q0JHU5	Oryza sativa subsp. japonica	Viridiplantae	159		False
Q9FHK4	Arabidopsis thaliana	Viridiplantae	615		False
Q9QXK9	Mus musculus	Metazoa	374		False
O08816	Rattus norvegicus	Metazoa	501		False
P53256	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	223		False
P70122	Mus musculus	Metazoa	250		False
Q8VY74	Arabidopsis thaliana	Viridiplantae	333		False
O13516	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	197		False
Q12522	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	245		False
Q9LVB9	Arabidopsis thaliana	Viridiplantae	172		False
O17850	Caenorhabditis elegans	Metazoa	317		False
P33201	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	236		False
Q3U0V2	Mus musculus	Metazoa	310		False
Q61464	Mus musculus	Metazoa	1960		False
Q924H7	Mus musculus	Metazoa	646		False
Q9FLL1	Arabidopsis thaliana	Viridiplantae	602		False
Q9VPM5	Drosophila melanogaster	Metazoa	539		False
P32790	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1244		False
A2AMT1	Mus musculus	Metazoa	669		False
O35625	Mus musculus	Metazoa	863		False
Q21738	Caenorhabditis elegans	Metazoa	335		False
O08773	Rattus norvegicus	Metazoa	544		False
Q9I7K6	Drosophila melanogaster	Metazoa	492		False
Q9D808	Mus musculus	Metazoa	123		True
Q3UNH4	Mus musculus	Metazoa	932		False
Q8R1N0	Mus musculus	Metazoa	363		False
Q9QXM1	Mus musculus	Metazoa	983		False
P38557	Arabidopsis thaliana	Viridiplantae	474		False
Q8K440	Mus musculus	Metazoa	1620		True
Q03770	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	852		False
Q9SU72	Arabidopsis thaliana	Viridiplantae	623		False
P97452	Mus musculus	Metazoa	732		False
Q8R139	Mus musculus	Metazoa	528		True
P48558	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	297		True
G5EEC5	Caenorhabditis elegans	Metazoa	414		False
Q20591	Caenorhabditis elegans	Metazoa	86		True
Q80U72	Mus musculus	Metazoa	1665		False
Q8VIM4	Mus musculus	Metazoa	307		True
O04714	Arabidopsis thaliana	Viridiplantae	326		True
P38227	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	689		False
P81909	Drosophila melanogaster	Metazoa	397		True
Q12361	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	961		True
P16522	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	626		False
P40460	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	691		False
P30551	Rattus norvegicus	Metazoa	444		True
Q9AUE0	Arabidopsis thaliana	Viridiplantae	1950		False
Q9SAH8	Arabidopsis thaliana	Viridiplantae	532		True
Q9VNB5	Drosophila melanogaster	Metazoa	486		True
Q2Q5T5	Mus musculus	Metazoa	84		True
Q9LX93	Arabidopsis thaliana	Viridiplantae	301		True
P40568	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	576		False
Q8RXN6	Arabidopsis thaliana	Viridiplantae	485		False
Q8VDL9	Mus musculus	Metazoa	521		False
F4J8G7	Arabidopsis thaliana	Viridiplantae	2138		False
Q9ZSZ8	Arabidopsis thaliana	Viridiplantae	330		False
Q00731	Mus musculus	Metazoa	392		False
P25028	Drosophila melanogaster	Metazoa	696		False
P33895	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	451		False
P38265	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	245		False
Q02732	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	369		False
Q06675	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	368		False
Q9R1C7	Mus musculus	Metazoa	953		False
Q93227	Caenorhabditis elegans	Metazoa	431		False
Q9ES73	Rattus norvegicus	Metazoa	775		False
Q02455	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1875		False
P40072	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	274		False
Q08444	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	459		False
Q21952	Caenorhabditis elegans	Metazoa	490		False
P48231	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1178		False
Q9STS7	Arabidopsis thaliana	Viridiplantae	353		False
P32855	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1065		False
Q9VCX1	Drosophila melanogaster	Metazoa	1541		False
P23804	Mus musculus	Metazoa	489		False
Q04087	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	347		False
Q6P926	Mus musculus	Metazoa	205		False
P47041	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	543		False
Q78T81	Mus musculus	Metazoa	392		False
G5ECD9	Caenorhabditis elegans	Metazoa	321		True
O88466	Mus musculus	Metazoa	1888		False
Q8GY65	Arabidopsis thaliana	Viridiplantae	343		False
Q8CI52	Mus musculus	Metazoa	662		False
P53817	Rattus norvegicus	Metazoa	160		False
P32828	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	619		False
P22561	Mus musculus	Metazoa	449		False
E9Q236	Mus musculus	Metazoa	1325		False
Q5DTT2	Mus musculus	Metazoa	1024		False
P13231	Dictyostelium discoideum	Other	118		False
Q01560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	414		False
Q9SMS0	Arabidopsis thaliana	Viridiplantae	249		False
O88801	Rattus norvegicus	Metazoa	354		False
P04817	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	590		False
Q06810	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	360		False
Q9JK95	Mus musculus	Metazoa	193		True
F8VPU2	Mus musculus	Metazoa	1048		False
Q04175	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	944		False
P38755	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	437		False
A3KPQ7	Danio rerio	Metazoa	1378		True
Q38890	Arabidopsis thaliana	Viridiplantae	621		True
Q058N4	Arabidopsis thaliana	Viridiplantae	459		False
Q9JJY3	Mus musculus	Metazoa	655		False
P31414	Arabidopsis thaliana	Viridiplantae	770		True
P24389	Rattus norvegicus	Metazoa	257		True
Q18321	Caenorhabditis elegans	Metazoa	482		True
Q8K5A9	Rattus norvegicus	Metazoa	228		True
P13638	Rattus norvegicus	Metazoa	290		True
Q9EQR5	Mus musculus	Metazoa	269		True
G5EDW5	Caenorhabditis elegans	Metazoa	952		False
Q8L4R0	Arabidopsis thaliana	Viridiplantae	350		False
Q6DBR6	Danio rerio	Metazoa	334		False
Q8LPS2	Arabidopsis thaliana	Viridiplantae	670		False
Q8R526	Mus musculus	Metazoa	2615		False
Q9VN91	Drosophila melanogaster	Metazoa	198		False
Q93V66	Arabidopsis thaliana	Viridiplantae	226		False
Q9C5U1	Arabidopsis thaliana	Viridiplantae	1036		True
Q84MB5	Arabidopsis thaliana	Viridiplantae	280		True
P38688	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	640		False
Q9VNS0	Drosophila melanogaster	Metazoa	459		False
A2ASQ1	Mus musculus	Metazoa	1950		True
P28648	Rattus norvegicus	Metazoa	238		True
Q8LBP4	Arabidopsis thaliana	Viridiplantae	462		False
Q8VZB2	Arabidopsis thaliana	Viridiplantae	221		True
P36000	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	726		False
Q54HI5	Dictyostelium discoideum	Other	716		False
Q8K480	Mus musculus	Metazoa	584		True
Q9N4M4	Caenorhabditis elegans	Metazoa	8545		False
Q8R3P9	Mus musculus	Metazoa	1054		False
Q8SAB7	Arabidopsis thaliana	Viridiplantae	1830		False
Q9M903	Arabidopsis thaliana	Viridiplantae	479		False
Q9SL05	Arabidopsis thaliana	Viridiplantae	133		False
P33419	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	253		False
Q8T0G4	Drosophila melanogaster	Metazoa	629		False
Q9C7S0	Arabidopsis thaliana	Viridiplantae	295		False
O23680	Arabidopsis thaliana	Viridiplantae	297		True
Q8LDU4	Arabidopsis thaliana	Viridiplantae	319		False
Q8VYD4	Arabidopsis thaliana	Viridiplantae	867		True
G5EC32	Caenorhabditis elegans	Metazoa	1005		False
Q9V6L9	Drosophila melanogaster	Metazoa	255		False
Q12142	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	997		False
Q8CJF7	Mus musculus	Metazoa	2243		False
O22788	Arabidopsis thaliana	Viridiplantae	236		False
Q8RWG2	Arabidopsis thaliana	Viridiplantae	652		False
P36131	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	295		False
P69850	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	94		False
Q8VHW8	Rattus norvegicus	Metazoa	275		True
P32380	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	944		False
Q03018	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1630		False
Q91YM2	Mus musculus	Metazoa	1499		False
O35671	Mus musculus	Metazoa	200		False
Q9VGL8	Drosophila melanogaster	Metazoa	363		False
Q28205	Bos taurus	Metazoa	1199		False
Q9VSB9	Drosophila melanogaster	Metazoa	376		True
Q9LDC0	Arabidopsis thaliana	Viridiplantae	365		False
B7Z0I7	Drosophila melanogaster	Metazoa	351		False
Q19131	Caenorhabditis elegans	Metazoa	813		False
P38870	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	785		False
Q9I7U4	Drosophila melanogaster	Metazoa	18141		False
P82347	Mus musculus	Metazoa	289		True
P82349	Mus musculus	Metazoa	320		True
A2RTF1	Mus musculus	Metazoa	1109		False
Q9VYX1	Drosophila melanogaster	Metazoa	101		False
Q9V4P1	Drosophila melanogaster	Metazoa	1239		False
P20676	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1076		False
Q9Z125	Mus musculus	Metazoa	519		False
O65502	Arabidopsis thaliana	Viridiplantae	395		False
P14906	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	663		True
Q8VY88	Arabidopsis thaliana	Viridiplantae	175		False
Q9D9W1	Mus musculus	Metazoa	207		False
Q6F6B5	Arabidopsis thaliana	Viridiplantae	741		False
Q94BS2	Arabidopsis thaliana	Viridiplantae	335		False
Q09349	Caenorhabditis elegans	Metazoa	984		False
Q64702	Mus musculus	Metazoa	925		False
P40075	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	244		False
P40548	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	159		True
Q9Y0E4	Drosophila melanogaster	Metazoa	2262		False
Q56X52	Arabidopsis thaliana	Viridiplantae	351		False
P32499	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	720		False
Q62733	Rattus norvegicus	Metazoa	452		False
Q8R4T5	Rattus norvegicus	Metazoa	394		False
A0A075TRC0	Penicillium expansum	Fungi	1776		False
P34077	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	839		False
P70582	Rattus norvegicus	Metazoa	510		False
Q9JJ28	Mus musculus	Metazoa	1271		False
Q19253	Caenorhabditis elegans	Metazoa	592		False
Q6P7B7	Rattus norvegicus	Metazoa	404		True
Q80WE4	Mus musculus	Metazoa	1774		False
Q9M591	Arabidopsis thaliana	Viridiplantae	409		False
Q05515	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	481		False
Q9WV31	Mus musculus	Metazoa	396		False
Q18508	Caenorhabditis elegans	Metazoa	1784		False
Q62384	Mus musculus	Metazoa	459		False
H2L006	Caenorhabditis elegans	Metazoa	451		True
Q9BLG3	Dictyostelium discoideum	Other	431		True
Q66L44	Mus musculus	Metazoa	698		True
A0A075TRB3	Penicillium expansum	Fungi	259		False
Q58DZ9	Rattus norvegicus	Metazoa	258		False
Q6A078	Mus musculus	Metazoa	2472		False
Q94AN2	Arabidopsis thaliana	Viridiplantae	700		True
P15387	Rattus norvegicus	Metazoa	857		False
A0A0B5L781	Penicillium brevicompactum	Fungi	398		False
H9A1V3	Cannabis sativa	Viridiplantae	720		False
Q9JII1	Mus musculus	Metazoa	647		False
Q04491	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	297		False
Q10423	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	258		False
Q6C354	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	520		False
Q6CLY8	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37)	Fungi	368		False
Q5EU90	Euglena gracilis	Other	539		False
P15505	Gallus gallus	Metazoa	1004		False
Q60415	Cricetulus griseus	Metazoa	299		False
Q57UZ7	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	550		False
Q587E3	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	735		False
C6TA59	Glycine max	Viridiplantae	214		False
A0A0F7G352	Vanilla planifolia	Viridiplantae	356		False
O13919	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1075		False
O43114	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	455		False
O74511	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	838		False
Q5AP80	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	785		False
Q9UQY9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	429		False
A0A1D8PN96	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	981		False
O13911	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	408		False
O14350	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	181		False
O94326	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	609		False
O94397	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	344		False
Q8QFR4	Xenopus laevis	Metazoa	211		False
Q9HGK2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	216		False
Q9P7T4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1019		False
O60094	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	959		False
O74563	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	680		False
P87176	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	269		False
A7TUE1	Medicago truncatula	Viridiplantae	513		False
Q10990	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	490		False
Q92355	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1687		False
Q9Y802	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1000		False
P40923	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	201		False
P87174	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	210		False
Q10178	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1205		False
Q4PIR3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	250		False
Q9UTE3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	620		False
P22068	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	525		False
O94609	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1012		False
P54789	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	707		False
P79083	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	328		False
